ID,Nome,Idade,Gênero,Estado,Departamento,Salário,Data_Contratação,Produto,Vendas_Mensais
1,Carlos,56,M,SC,TI,"R$ 8.404,77",2017-01-14,Produto D,252
2,Helena,33,M,GO,Marketing,"R$ 8.548,20",2016-08-10,Produto A,232
3,Fernanda,44,F,SP,Operações,"R$ 8.381,40",2023-05-05,Produto D,0
4,Ana,63,F,RJ,Marketing,"R$ 9.832,81",2018-08-10,Produto B,118
5,Daniela,47,F,PR,Operações,"R$ 5.072,05",2021-04-01,Produto B,55
6,Ricardo,25,F,PE,Financeiro,"R$ 11.050,89",2019-06-23,Produto D,127
7,Eduardo,48,M,RS,TI,"R$ 2.019,87",2020-02-09,Produto D,140
8,Gabriel,58,M,RJ,Financeiro,"R$ 13.806,09",2018-02-28,Produto C,254
9,Sofia,48,F,SP,RH,"R$ 14.904,89",2023-03-20,Produto A,14
10,Natália,51,F,MG,Operações,"R$ 6.441,38",2018-04-18,Produto A,164
11,Otávio,57,F,RJ,Marketing,"R$ 9.363,48",2015-11-12,Produto C,222
12,Fernanda,24,M,PR,Operações,"R$ 11.585,34",2023-04-27,Produto B,31
13,Gabriel,43,M,ES,Comercial,"R$ 9.872,74",2017-02-27,Produto D,37
14,Fernanda,47,F,BA,Comercial,"R$ 3.205,33",2020-03-03,Produto D,175
15,Ricardo,62,M,RJ,Marketing,"R$ 8.811,77",2017-03-06,Produto D,178
16,Laura,18,F,BA,TI,"R$ 6.827,27",2017-04-08,Produto D,3
17,Otávio,33,M,GO,Marketing,"R$ 8.472,86",2017-08-05,Produto B,34
18,Paula,33,M,BA,Operações,"R$ 3.439,64",2024-03-31,Produto B,110
19,Natália,24,M,RS,Financeiro,"R$ 10.723,73",2016-10-25,Produto C,297
20,Ana,43,M,PE,Operações,"R$ 5.806,02",2015-04-18,Produto D,55
21,Carlos,54,F,GO,TI,"R$ 13.214,06",2015-06-17,Produto A,56
22,Daniela,64,F,SP,TI,"R$ 12.436,38",2024-06-25,Produto B,95
23,Marcos,31,F,MG,RH,"R$ 9.022,96",2018-02-07,Produto D,183
24,Tiago,39,F,RS,Financeiro,"R$ 7.409,69",2019-04-22,Produto C,37
25,Igor,55,F,BA,Marketing,"R$ 7.809,03",2018-09-30,Produto D,110
26,Kaique,47,F,MG,Operações,"R$ 11.942,31",2018-05-18,Produto A,176
27,Tiago,49,M,SP,Comercial,"R$ 12.076,74",2016-06-10,Produto B,93
28,Bruno,28,F,SC,Marketing,"R$ 9.846,55",2023-12-04,Produto B,248
29,Paula,23,F,ES,Marketing,"R$ 11.840,53",2017-04-02,Produto C,254
30,Ricardo,39,M,MG,Comercial,"R$ 4.560,52",2022-01-06,Produto D,231
31,Eduardo,26,F,MG,RH,"R$ 10.268,71",2016-09-17,Produto C,13
32,Otávio,56,F,GO,TI,"R$ 4.121,31",2018-03-31,Produto B,209
33,Natália,51,F,ES,RH,"R$ 2.799,40",2018-04-29,Produto A,102
34,Ricardo,22,M,SC,Financeiro,"R$ 7.066,27",2016-11-22,Produto B,102
35,Quésia,61,M,ES,Operações,"R$ 5.638,02",2024-01-01,Produto D,21
36,Eduardo,54,M,ES,Operações,"R$ 5.058,55",2015-08-22,Produto C,148
37,Daniela,51,F,ES,TI,"R$ 6.069,19",2018-02-21,Produto B,0
38,Laura,44,F,SP,Operações,"R$ 13.334,83",2024-01-30,Produto B,208
39,Eduardo,55,F,BA,TI,"R$ 5.849,41",2016-08-22,Produto B,163
40,Tiago,55,F,PE,Financeiro,"R$ 14.464,30",2018-01-17,Produto B,45
41,Tiago,25,M,SP,Marketing,"R$ 11.388,14",2017-05-22,Produto C,297
42,Ricardo,24,M,GO,TI,"R$ 12.406,87",2017-04-22,Produto A,233
43,Otávio,38,M,MG,Operações,"R$ 12.132,56",2016-04-24,Produto A,249
44,Sofia,37,F,GO,Operações,"R$ 9.964,18",2018-06-09,Produto D,241
45,Marcos,19,F,GO,Comercial,"R$ 13.803,60",2021-03-08,Produto C,185
46,Bruno,28,M,SP,TI,"R$ 12.812,38",2016-05-05,Produto C,61
47,Fernanda,64,M,RJ,Operações,"R$ 11.934,50",2017-08-12,Produto A,87
48,Natália,55,M,MG,Operações,"R$ 11.526,75",2016-05-04,Produto C,252
49,Marcos,38,M,SP,Operações,"R$ 11.355,71",2019-09-20,Produto A,174
50,Helena,33,M,BA,Financeiro,"R$ 9.002,52",2024-11-16,Produto D,188
51,Paula,43,F,RJ,TI,"R$ 8.969,49",2021-03-25,Produto C,253
52,Ana,47,F,PR,RH,"R$ 10.414,04",2023-02-14,Produto B,129
53,Paula,21,F,PE,Operações,"R$ 14.441,71",2024-01-06,Produto A,255
54,Eduardo,31,F,PR,Financeiro,"R$ 8.346,85",2022-05-22,Produto A,300
55,Natália,53,F,SC,Comercial,"R$ 3.048,67",2022-05-31,Produto A,102
56,Eduardo,57,M,MG,TI,"R$ 5.784,13",2023-05-29,Produto C,184
57,Quésia,57,F,MG,RH,"R$ 8.629,75",2017-07-24,Produto B,41
58,Helena,53,M,PR,Marketing,"R$ 10.045,87",2024-11-20,Produto C,286
59,Kaique,37,M,BA,Marketing,"R$ 3.938,51",2024-03-11,Produto B,295
60,Igor,53,M,RS,Financeiro,"R$ 2.596,87",2016-11-16,Produto C,143
61,Otávio,57,F,MG,Financeiro,"R$ 2.242,80",2015-01-29,Produto A,207
62,Quésia,64,M,ES,Marketing,"R$ 7.871,96",2016-05-16,Produto D,291
63,Kaique,62,M,ES,Operações,"R$ 9.203,32",2023-01-14,Produto B,230
64,Natália,59,M,PE,TI,"R$ 4.377,66",2022-12-31,Produto A,17
65,Sofia,31,F,MG,RH,"R$ 3.148,47",2017-10-09,Produto B,86
66,Gabriel,35,M,PE,TI,"R$ 12.769,10",2019-02-07,Produto A,52
67,Igor,29,M,RJ,Comercial,"R$ 7.755,13",2022-03-11,Produto C,203
68,Igor,33,M,MG,Comercial,"R$ 5.811,65",2023-12-26,Produto A,251
69,Bruno,19,F,SP,RH,"R$ 2.799,62",2019-05-29,Produto C,163
70,Paula,36,M,SP,Operações,"R$ 13.849,83",2018-11-17,Produto A,266
71,Helena,57,M,RJ,Comercial,"R$ 13.240,26",2023-04-16,Produto C,281
72,Bruno,31,F,MG,Comercial,"R$ 5.292,68",2017-07-14,Produto C,169
73,Helena,24,F,RJ,RH,"R$ 12.299,24",2018-12-15,Produto C,300
74,Marcos,34,F,SP,RH,"R$ 9.470,72",2019-10-22,Produto C,58
75,Ricardo,51,F,SP,Marketing,"R$ 4.261,77",2022-08-23,Produto B,11
76,Natália,52,M,GO,TI,"R$ 6.035,53",2017-02-24,Produto B,269
77,Otávio,18,F,RS,TI,"R$ 12.104,03",2018-05-04,Produto A,138
78,Tiago,34,M,PE,RH,"R$ 5.487,61",2021-11-29,Produto C,74
79,Natália,34,F,ES,Marketing,"R$ 3.637,90",2021-04-17,Produto D,235
80,Otávio,46,F,RS,Financeiro,"R$ 3.962,30",2024-12-03,Produto B,8
81,Tiago,35,M,BA,Financeiro,"R$ 13.674,63",2020-07-25,Produto D,117
82,Kaique,43,F,SC,Operações,"R$ 7.749,66",2022-06-27,Produto C,232
83,Otávio,19,M,PE,Marketing,"R$ 8.460,83",2019-09-17,Produto B,242
84,Quésia,20,F,SC,RH,"R$ 14.793,12",2017-04-12,Produto B,31
85,Quésia,21,F,BA,Comercial,"R$ 6.694,93",2015-05-14,Produto D,74
86,Ana,55,M,BA,Financeiro,"R$ 12.483,18",2019-08-29,Produto B,74
87,Eduardo,61,M,GO,TI,"R$ 9.451,06",2022-08-28,Produto A,58
88,Carlos,36,M,SP,Financeiro,"R$ 3.838,46",2024-06-14,Produto C,150
89,Quésia,55,F,BA,Operações,"R$ 11.275,51",2022-12-13,Produto C,71
90,Tiago,40,F,PE,RH,"R$ 2.144,59",2021-11-17,Produto A,12
91,Fernanda,26,F,PR,Financeiro,"R$ 6.151,88",2021-08-05,Produto C,58
92,Ana,48,F,RS,Comercial,"R$ 11.362,25",2016-12-30,Produto D,70
93,Laura,38,M,MG,Financeiro,"R$ 6.045,55",2017-05-17,Produto D,197
94,Bruno,61,F,RJ,Comercial,"R$ 8.855,06",2022-11-11,Produto B,108
